slug,ID,model,input_tokens,output_tokens,total_tokens
Chart_1,1,gpt-4,3443,238,3681
Chart_3,2,gpt-4,3646,210,3856
Chart_3,2,gpt-4,2970,197,3167
Chart_3,2,gpt-4,3268,232,3500
Chart_3,2,gpt-4,3524,249,3773
Chart_3,2,gpt-4,4071,206,4277
Chart_3,2,gpt-4,2965,187,3152
Chart_3,2,gpt-4,3253,170,3423
Chart_3,2,gpt-4,3447,203,3650
Chart_3,2,gpt-4,3674,319,3993
Chart_3,2,gpt-4,4303,204,4507
Chart_3,2,gpt-4,2963,226,3189
Chart_3,2,gpt-4,3291,205,3496
Chart_3,2,gpt-4,3520,181,3701
Chart_3,2,gpt-4,3725,193,3918
Chart_3,2,gpt-4,4533,192,4725
Chart_3,2,gpt-4,2952,235,3187
Chart_3,2,gpt-4,4752,206,4958
Chart_3,2,gpt-4,2965,201,3166
Chart_3,2,gpt-4,3267,170,3437
Chart_3,2,gpt-4,3461,185,3646
Chart_3,2,gpt-4,3670,245,3915
Chart_3,2,gpt-4,4984,210,5194
Chart_3,2,gpt-4,2970,266,3236
Chart_3,2,gpt-4,3337,250,3587
Chart_3,2,gpt-4,3611,234,3845
Chart_3,2,gpt-4,3870,250,4120
Chart_3,2,gpt-4,5221,208,5429
Chart_3,2,gpt-4,2968,228,3196
Chart_3,2,gpt-4,3298,246,3544
Chart_3,2,gpt-4,3568,216,3784
Chart_3,2,gpt-4,3809,279,4088
Chart_4,3,gpt-4,15900,650,16550
Chart_5,4,gpt-4,3690,315,4005
Chart_5,4,gpt-4,3196,461,3657
Chart_6,5,gpt-4,2831,68,2899
Chart_6,5,gpt-4,2697,130,2827
Chart_6,5,gpt-4,3114,90,3204
Chart_6,5,gpt-4,2718,156,2874
Chart_6,5,gpt-4,3071,160,3231
Chart_6,5,gpt-4,3255,168,3423
Chart_6,5,gpt-4,3448,179,3627
Chart_6,5,gpt-4,3230,64,3294
Chart_6,5,gpt-4,2692,140,2832
Chart_6,5,gpt-4,3029,136,3165
Chart_6,5,gpt-4,3189,155,3344
Chart_6,5,gpt-4,3368,148,3516
Chart_6,5,gpt-4,3320,64,3384
Chart_6,5,gpt-4,2692,157,2849
Chart_6,5,gpt-4,3047,158,3205
Chart_6,5,gpt-4,3229,177,3406
Chart_6,5,gpt-4,3430,183,3613
Chart_6,5,gpt-4,3410,69,3479
Chart_6,5,gpt-4,2698,133,2831
Chart_6,5,gpt-4,3028,167,3195
Chart_6,5,gpt-4,3220,148,3368
Chart_6,5,gpt-4,3393,294,3687
