slug,ID,model,input_tokens,output_tokens,total_tokens
Chart_1,0,gpt-4o-2024-11-20,3806,262,4068
Chart_10,1,gpt-4o-2024-11-20,2926,75,3001
Chart_11,2,gpt-4o-2024-11-20,5945,240,6185
Chart_12,3,gpt-4o-2024-11-20,3959,207,4166
Chart_12,3,gpt-4o-2024-11-20,4377,194,4571
Chart_12,3,gpt-4o-2024-11-20,4594,247,4841
Chart_12,3,gpt-4o-2024-11-20,4864,251,5115
Chart_12,3,gpt-4o-2024-11-20,5138,248,5386
Chart_12,3,gpt-4o-2024-11-20,5409,272,5681
Chart_12,3,gpt-4o-2024-11-20,5704,255,5959
Chart_13,4,gpt-4o-2024-11-20,5387,720,6107
Chart_13,4,gpt-4o-2024-11-20,6318,777,7095
Chart_13,4,gpt-4o-2024-11-20,7118,841,7959
Chart_13,4,gpt-4o-2024-11-20,7982,876,8858
Chart_13,4,gpt-4o-2024-11-20,8881,863,9744
Chart_13,4,gpt-4o-2024-11-20,9767,1044,10811
Chart_13,4,gpt-4o-2024-11-20,10834,856,11690
Chart_17,5,gpt-4o-2024-11-20,2862,74,2936
Chart_17,5,gpt-4o-2024-11-20,2827,131,2958
Chart_17,5,gpt-4o-2024-11-20,3053,164,3217
Chart_17,5,gpt-4o-2024-11-20,3275,224,3499
Chart_17,5,gpt-4o-2024-11-20,3584,271,3855
Chart_17,5,gpt-4o-2024-11-20,3151,109,3260
Chart_17,5,gpt-4o-2024-11-20,2862,97,2959
Chart_17,5,gpt-4o-2024-11-20,3287,112,3399
Chart_17,5,gpt-4o-2024-11-20,2865,123,2988
Chart_17,5,gpt-4o-2024-11-20,3075,208,3283
Chart_17,5,gpt-4o-2024-11-20,3393,245,3638
Chart_17,5,gpt-4o-2024-11-20,3914,275,4189
Chart_17,5,gpt-4o-2024-11-20,3426,106,3532
Chart_17,5,gpt-4o-2024-11-20,2898,162,3060
Chart_17,5,gpt-4o-2024-11-20,3186,201,3387
Chart_17,5,gpt-4o-2024-11-20,3519,248,3767
Chart_17,5,gpt-4o-2024-11-20,3559,103,3662
Chart_17,5,gpt-4o-2024-11-20,3685,109,3794
Chart_17,5,gpt-4o-2024-11-20,2971,147,3118
Chart_20,6,gpt-4o-2024-11-20,2663,87,2750
Chart_20,6,gpt-4o-2024-11-20,2968,86,3054
Chart_24,7,gpt-4o-2024-11-20,3070,186,3256
Chart_24,7,gpt-4o-2024-11-20,3665,200,3865
Chart_24,7,gpt-4o-2024-11-20,4580,95,4675
Chart_24,7,gpt-4o-2024-11-20,3471,196,3667
Chart_26,8,gpt-4o-2024-11-20,18434,1581,20015
Chart_26,8,gpt-4o-2024-11-20,19040,818,19858
Chart_3,9,gpt-4o-2024-11-20,4321,273,4594
Chart_3,9,gpt-4o-2024-11-20,4390,245,4635
Chart_3,9,gpt-4o-2024-11-20,4809,215,5024
Chart_3,9,gpt-4o-2024-11-20,5047,247,5294
Chart_3,9,gpt-4o-2024-11-20,5317,204,5521
Chart_3,9,gpt-4o-2024-11-20,5544,219,5763
Chart_3,9,gpt-4o-2024-11-20,5786,219,6005
Chart_3,9,gpt-4o-2024-11-20,6028,252,6280
Chart_4,10,gpt-4o-2024-11-20,15795,615,16410
Chart_4,10,gpt-4o-2024-11-20,16621,553,17174
Chart_4,10,gpt-4o-2024-11-20,17197,529,17726
Chart_4,10,gpt-4o-2024-11-20,17749,470,18219
Chart_4,10,gpt-4o-2024-11-20,18242,511,18753
Chart_4,10,gpt-4o-2024-11-20,18776,637,19413
Chart_4,10,gpt-4o-2024-11-20,19435,496,19931
Chart_5,11,gpt-4o-2024-11-20,3972,253,4225
Chart_5,11,gpt-4o-2024-11-20,4039,263,4302
Chart_5,11,gpt-4o-2024-11-20,4431,269,4700
Chart_5,11,gpt-4o-2024-11-20,4616,272,4888
Chart_5,11,gpt-4o-2024-11-20,4955,341,5296
Chart_5,11,gpt-4o-2024-11-20,4440,237,4677
Chart_5,11,gpt-4o-2024-11-20,4090,254,4344
Chart_5,11,gpt-4o-2024-11-20,4260,310,4570
Chart_5,11,gpt-4o-2024-11-20,4704,223,4927
Chart_5,11,gpt-4o-2024-11-20,4950,263,5213
Chart_5,11,gpt-4o-2024-11-20,5236,269,5505
Chart_5,11,gpt-4o-2024-11-20,5528,284,5812
Chart_5,11,gpt-4o-2024-11-20,5835,253,6088
Chart_6,12,gpt-4o-2024-11-20,3002,71,3073
Chart_6,12,gpt-4o-2024-11-20,3284,145,3429
Chart_6,12,gpt-4o-2024-11-20,3452,90,3542
Chart_6,12,gpt-4o-2024-11-20,3565,134,3699
Chart_6,12,gpt-4o-2024-11-20,3722,141,3863
Chart_6,12,gpt-4o-2024-11-20,3886,140,4026
Chart_6,12,gpt-4o-2024-11-20,4049,143,4192
Chart_7,13,gpt-4o-2024-11-20,5554,656,6210
Chart_8,14,gpt-4o-2024-11-20,4943,207,5150
Chart_8,14,gpt-4o-2024-11-20,5361,178,5539
Chart_8,14,gpt-4o-2024-11-20,5562,221,5783
Chart_8,14,gpt-4o-2024-11-20,5806,232,6038
Chart_8,14,gpt-4o-2024-11-20,6061,232,6293
Chart_8,14,gpt-4o-2024-11-20,6316,244,6560
Chart_8,14,gpt-4o-2024-11-20,6583,295,6878
Chart_9,15,gpt-4o-2024-11-20,3857,367,4224
Chart_9,15,gpt-4o-2024-11-20,4435,280,4715
Chart_9,15,gpt-4o-2024-11-20,4738,233,4971
Chart_9,15,gpt-4o-2024-11-20,4994,220,5214
Chart_9,15,gpt-4o-2024-11-20,4750,261,5011
Chart_9,15,gpt-4o-2024-11-20,5241,267,5508
Chart_9,15,gpt-4o-2024-11-20,4227,285,4512
Chart_9,15,gpt-4o-2024-11-20,4274,371,4645
Chart_9,15,gpt-4o-2024-11-20,4752,336,5088
Chart_9,15,gpt-4o-2024-11-20,5152,372,5524
Chart_9,15,gpt-4o-2024-11-20,5535,238,5773
Chart_9,15,gpt-4o-2024-11-20,4114,255,4369
Chart_9,15,gpt-4o-2024-11-20,4297,248,4545
Chart_9,15,gpt-4o-2024-11-20,5167,260,5427
Chart_9,15,gpt-4o-2024-11-20,4969,285,5254
Chart_9,15,gpt-4o-2024-11-20,5800,252,6052
Cli_11,16,gpt-4o-2024-11-20,3675,241,3916
Cli_12,17,gpt-4o-2024-11-20,6736,385,7121
Cli_12,17,gpt-4o-2024-11-20,7068,520,7588
Cli_12,17,gpt-4o-2024-11-20,8024,543,8567
Cli_12,17,gpt-4o-2024-11-20,9002,697,9699
Cli_12,17,gpt-4o-2024-11-20,9437,709,10146
Cli_12,17,gpt-4o-2024-11-20,7336,457,7793
Cli_12,17,gpt-4o-2024-11-20,7338,448,7786
Cli_12,17,gpt-4o-2024-11-20,7820,449,8269
Cli_12,17,gpt-4o-2024-11-20,6727,378,7105
Cli_12,17,gpt-4o-2024-11-20,6856,450,7306
Cli_12,17,gpt-4o-2024-11-20,7619,440,8059
Cli_12,17,gpt-4o-2024-11-20,7954,421,8375
Cli_12,17,gpt-4o-2024-11-20,8296,579,8875
Cli_12,17,gpt-4o-2024-11-20,7217,358,7575
Cli_12,17,gpt-4o-2024-11-20,7183,445,7628
Cli_12,17,gpt-4o-2024-11-20,8052,435,8487
Cli_12,17,gpt-4o-2024-11-20,8502,470,8972
Cli_12,17,gpt-4o-2024-11-20,8902,588,9490
Cli_12,17,gpt-4o-2024-11-20,7088,544,7632
Cli_12,17,gpt-4o-2024-11-20,7819,449,8268
Cli_12,17,gpt-4o-2024-11-20,8147,512,8659
Cli_12,17,gpt-4o-2024-11-20,8846,525,9371
Cli_12,17,gpt-4o-2024-11-20,9517,315,9832
Cli_12,17,gpt-4o-2024-11-20,9855,522,10377
Cli_12,17,gpt-4o-2024-11-20,7025,515,7540
Cli_12,17,gpt-4o-2024-11-20,7416,569,7985
Cli_12,17,gpt-4o-2024-11-20,8760,544,9304
Cli_12,17,gpt-4o-2024-11-20,9283,616,9899
Cli_14,18,gpt-4o-2024-11-20,3587,314,3901
Cli_14,18,gpt-4o-2024-11-20,4112,214,4326
Cli_14,18,gpt-4o-2024-11-20,4349,172,4521
Cli_14,18,gpt-4o-2024-11-20,4544,194,4738
Cli_14,18,gpt-4o-2024-11-20,4761,177,4938
Cli_14,18,gpt-4o-2024-11-20,4961,172,5133
Cli_14,18,gpt-4o-2024-11-20,5156,212,5368
Cli_15,19,gpt-4o-2024-11-20,4260,183,4443
Cli_15,19,gpt-4o-2024-11-20,4654,204,4858
Cli_15,19,gpt-4o-2024-11-20,4881,228,5109
Cli_15,19,gpt-4o-2024-11-20,5132,244,5376
Cli_15,19,gpt-4o-2024-11-20,5399,229,5628
Cli_15,19,gpt-4o-2024-11-20,5651,190,5841
Cli_15,19,gpt-4o-2024-11-20,5863,242,6105
Cli_17,20,gpt-4o-2024-11-20,5175,209,5384
Cli_19,21,gpt-4o-2024-11-20,2818,99,2917
Cli_19,21,gpt-4o-2024-11-20,3024,122,3146
Cli_19,21,gpt-4o-2024-11-20,3132,126,3258
Cli_19,21,gpt-4o-2024-11-20,3281,143,3424
Cli_19,21,gpt-4o-2024-11-20,3447,137,3584
Cli_19,21,gpt-4o-2024-11-20,3607,157,3764
Cli_19,21,gpt-4o-2024-11-20,3787,126,3913
Cli_19,21,gpt-4o-2024-11-20,3936,142,4078
Cli_20,22,gpt-4o-2024-11-20,5847,309,6156
Cli_20,22,gpt-4o-2024-11-20,6367,343,6710
Cli_20,22,gpt-4o-2024-11-20,6733,332,7065
