slug,exception_info
Chart_1,junit.framework.AssertionFailedError: expected:<1> but was:<0>
Chart_2,java.lang.NullPointerException
Chart_3,junit.framework.AssertionFailedError: expected:<101.0> but was:<102.0>
Chart_4,java.lang.NullPointerException
Chart_5,"java.lang.IndexOutOfBoundsException: Index: -1, Size: 1"
Chart_6,junit.framework.AssertionFailedError: expected:<org.jfree.chart.util.ShapeList@aac24dc9> but was:<org.jfree.chart.util.ShapeList@e4584f91>
Chart_7,junit.framework.AssertionFailedError: expected:<1> but was:<3>
Chart_8,junit.framework.AssertionFailedError: expected:<35> but was:<34>
Chart_9,java.lang.IllegalArgumentException: Requires start <= end.
Chart_10,"junit.framework.ComparisonFailure: expected:< title=""Series [&quot;A&quot;], 100.0"" alt=""""> but was:< title=""Series [""A""], 100.0"" alt="""">"
Chart_11,junit.framework.AssertionFailedError
Chart_12,junit.framework.AssertionFailedError
Chart_13,"java.lang.IllegalArgumentException: Range(double, double): require lower (0.0) <= upper (-2.3000000000000007)."
Chart_14,java.lang.NullPointerException
Chart_15,junit.framework.AssertionFailedError
Chart_16,java.lang.NullPointerException
Chart_17,java.lang.IllegalArgumentException: Requires start <= end.
Chart_18,junit.framework.AssertionFailedError: expected:<-1> but was:<0>
Chart_18,junit.framework.AssertionFailedError
Chart_18,java.lang.IndexOutOfBoundsException: Index 0 out of bounds for length 0
Chart_19,junit.framework.AssertionFailedError
Chart_20,"junit.framework.AssertionFailedError: expected:<java.awt.Color[r=0,g=0,b=255]> but was:<java.awt.Color[r=255,g=0,b=0]>"
Chart_21,"junit.framework.AssertionFailedError: expected:<Range[8.5,9.6]> but was:<Range[8.6,9.6]>"
Chart_22,org.jfree.data.UnknownKeyException: The key (C2) is not recognised.
Chart_23,junit.framework.AssertionFailedError
Chart_24,java.lang.IllegalArgumentException: Color parameter outside of expected range: Red Green Blue
Chart_25,junit.framework.AssertionFailedError
Chart_26,junit.framework.AssertionFailedError
Cli_1,junit.framework.AssertionFailedError
Cli_2,org.apache.commons.cli.UnrecognizedOptionException: Unrecognized option: -o
Cli_3,junit.framework.AssertionFailedError: number flag n expected:<4.5> but was:<4.5>
Cli_4,junit.framework.ComparisonFailure: expected:<[Missing required options: ]fx> but was:<[]fx>
