slug,class_path,buggy_code
Chart_1b_1,/home/common/huangzhili/defects4j_buggy_3/Chart_1_buggy/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,"public void setPlot(CategoryPlot plot) {
if (plot == null) {
throw new IllegalArgumentException(""Null 'plot' argument."");
}
this.plot = plot;
}"
Chart_1b_2,/home/common/huangzhili/defects4j_buggy_3/Chart_1_buggy/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,"public LegendItemCollection getLegendItems() {
LegendItemCollection result = new LegendItemCollection();
if (this.plot == null) {
return result;
}
int index = this.plot.getIndexOf(this);
CategoryDataset dataset = this.plot.getDataset(index);
if (dataset != null) {
return result;
}
int seriesCount = dataset.getRowCount();
if (plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) {
for (int i = 0; i < seriesCount; i++) {
if (isSeriesVisibleInLegend(i)) {
LegendItem item = getLegendItem(index, i);
if (item != null) {
result.add(item);
}
}
}
}
else {
for (int i = seriesCount - 1; i >= 0; i--) {
if (isSeriesVisibleInLegend(i)) {
LegendItem item = getLegendItem(index, i);
if (item != null) {
result.add(item);
}
}
}
}
return result;
}"
Chart_1b_3,/home/common/huangzhili/defects4j_buggy_3/Chart_1_buggy/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,"protected AbstractCategoryItemRenderer() {
this.itemLabelGeneratorList = new ObjectList();
this.toolTipGeneratorList = new ObjectList();
this.urlGeneratorList = new ObjectList();
this.legendItemLabelGenerator
= new StandardCategorySeriesLabelGenerator();
this.backgroundAnnotations = new ArrayList();
this.foregroundAnnotations = new ArrayList();
}"
Chart_3b_1,/home/common/huangzhili/defects4j_buggy_3/Chart_3_buggy/source/org/jfree/data/time/TimeSeries.java,"public TimeSeries createCopy(int start, int end)
throws CloneNotSupportedException {
if (start < 0) {
throw new IllegalArgumentException(""Requires start >= 0."");
}
if (end < start) {
throw new IllegalArgumentException(""Requires start <= end."");
}
TimeSeries copy = (TimeSeries) super.clone();
copy.data = new java.util.ArrayList();
if (this.data.size() > 0) {
for (int index = start; index <= end; index++) {
TimeSeriesDataItem item
= (TimeSeriesDataItem) this.data.get(index);
TimeSeriesDataItem clone = (TimeSeriesDataItem) item.clone();
try {
copy.add(clone);
}
catch (SeriesException e) {
e.printStackTrace();
}
}
}
return copy;
}"
Chart_3b_2,/home/common/huangzhili/defects4j_buggy_3/Chart_3_buggy/source/org/jfree/data/time/TimeSeries.java,"add(item, true);
}

/**
* Adds a data item to the series and sends a {@link SeriesChangeEvent} to
* all registered listeners.
*
* @param item  the (timeperiod, value) pair (<code>null</code> not
*              permitted).
* @param notify  notify listeners?
*/
public void add(TimeSeriesDataItem item, boolean notify) {"
Chart_3b_3,/home/common/huangzhili/defects4j_buggy_3/Chart_3_buggy/source/org/jfree/data/time/TimeSeries.java,"public double getMinY() {
return this.minY;
}"
Chart_3b_4,/home/common/huangzhili/defects4j_buggy_3/Chart_3_buggy/source/org/jfree/data/time/TimeSeries.java,"public double getMaxY() {
return this.maxY;
}"
Chart_3b_5,/home/common/huangzhili/defects4j_buggy_3/Chart_3_buggy/source/org/jfree/data/time/TimeSeries.java,"public TimeSeries(Comparable name) {
this(name, DEFAULT_DOMAIN_DESCRIPTION, DEFAULT_RANGE_DESCRIPTION);
}"
Chart_4b_1,/home/common/huangzhili/defects4j_buggy_3/Chart_4_buggy/source/org/jfree/chart/plot/XYPlot.java,"public Range getDataRange(ValueAxis axis) {

Range result = null;
List mappedDatasets = new ArrayList();
List includedAnnotations = new ArrayList();
boolean isDomainAxis = true;

// is it a domain axis?
int domainIndex = getDomainAxisIndex(axis);
if (domainIndex >= 0) {
isDomainAxis = true;
mappedDatasets.addAll(getDatasetsMappedToDomainAxis(
new Integer(domainIndex)));
if (domainIndex == 0) {
// grab the plot's annotations
Iterator iterator = this.annotations.iterator();
while (iterator.hasNext()) {
XYAnnotation annotation = (XYAnnotation) iterator.next();
if (annotation instanceof XYAnnotationBoundsInfo) {
includedAnnotations.add(annotation);
}
}
}
}

// or is it a range axis?
int rangeIndex = getRangeAxisIndex(axis);
if (rangeIndex >= 0) {
isDomainAxis = false;
mappedDatasets.addAll(getDatasetsMappedToRangeAxis(
new Integer(rangeIndex)));
if (rangeIndex == 0) {
Iterator iterator = this.annotations.iterator();
while (iterator.hasNext()) {
XYAnnotation annotation = (XYAnnotation) iterator.next();
if (annotation instanceof XYAnnotationBoundsInfo) {
includedAnnotations.add(annotation);
}
}
}
}

// iterate through the datasets that map to the axis and get the union
// of the ranges.
Iterator iterator = mappedDatasets.iterator();
while (iterator.hasNext()) {
XYDataset d = (XYDataset) iterator.next();
if (d != null) {
XYItemRenderer r = getRendererForDataset(d);
if (isDomainAxis) {
if (r != null) {
result = Range.combine(result, r.findDomainBounds(d));
}
else {
result = Range.combine(result,
DatasetUtilities.findDomainBounds(d));
}
}
else {
if (r != null) {
result = Range.combine(result, r.findRangeBounds(d));
}
else {
result = Range.combine(result,
DatasetUtilities.findRangeBounds(d));
}
}

Collection c = r.getAnnotations();
Iterator i = c.iterator();
while (i.hasNext()) {
XYAnnotation a = (XYAnnotation) i.next();
if (a instanceof XYAnnotationBoundsInfo) {
includedAnnotations.add(a);
}
}
}
}

Iterator it = includedAnnotations.iterator();
while (it.hasNext()) {
XYAnnotationBoundsInfo xyabi = (XYAnnotationBoundsInfo) it.next();
if (xyabi.getIncludeInDataBounds()) {
if (isDomainAxis) {
result = Range.combine(result, xyabi.getXRange());
}
else {
result = Range.combine(result, xyabi.getYRange());
}
}
}

return result;

}"
Chart_4b_2,/home/common/huangzhili/defects4j_buggy_3/Chart_4_buggy/source/org/jfree/chart/plot/XYPlot.java,"public XYItemRenderer getRendererForDataset(XYDataset dataset) {
XYItemRenderer result = null;
for (int i = 0; i < this.datasets.size(); i++) {
if (this.datasets.get(i) == dataset) {
result = (XYItemRenderer) this.renderers.get(i);
if (result == null) {
result = getRenderer();
}
break;
}
}
return result;
}"
Chart_4b_3,/home/common/huangzhili/defects4j_buggy_3/Chart_4_buggy/source/org/jfree/chart/plot/XYPlot.java,"return getRenderer(0);
}

/**
* Returns the renderer for a dataset, or <code>null</code>.
*
* @param index  the renderer index.
*
* @return The renderer (possibly <code>null</code>).
*
* @see #setRenderer(int, XYItemRenderer)
*/
public XYItemRenderer getRenderer(int index) {"
Chart_4b_4,/home/common/huangzhili/defects4j_buggy_3/Chart_4_buggy/source/org/jfree/chart/plot/XYPlot.java,"public void configureDomainAxes() {
for (int i = 0; i < this.domainAxes.size(); i++) {
ValueAxis axis = (ValueAxis) this.domainAxes.get(i);
if (axis != null) {
axis.configure();
}
}
}"
Chart_4b_5,/home/common/huangzhili/defects4j_buggy_3/Chart_4_buggy/source/org/jfree/chart/plot/XYPlot.java,"private List getDatasetsMappedToDomainAxis(Integer axisIndex) {
if (axisIndex == null) {
throw new IllegalArgumentException(""Null 'axisIndex' argument."");
}
List result = new ArrayList();
for (int i = 0; i < this.datasets.size(); i++) {
List mappedAxes = (List) this.datasetToDomainAxesMap.get(
new Integer(i));
if (mappedAxes == null) {
if (axisIndex.equals(ZERO)) {
result.add(this.datasets.get(i));
}
}
else {
if (mappedAxes.contains(axisIndex)) {
result.add(this.datasets.get(i));
}
}
}
return result;
}"
Chart_5b_1,/home/common/huangzhili/defects4j_buggy_3/Chart_5_buggy/source/org/jfree/data/xy/XYSeries.java,"return addOrUpdate(new Double(x), new Double(y));
}

/**
* Adds or updates an item in the series and sends a
* {@link SeriesChangeEvent} to all registered listeners.
*
* @param x  the x-value (<code>null</code> not permitted).
* @param y  the y-value (<code>null</code> permitted).
*
* @return A copy of the overwritten data item, or <code>null</code> if no
*         item was overwritten.
*/
public XYDataItem addOrUpdate(Number x, Number y) {"
Chart_5b_2,/home/common/huangzhili/defects4j_buggy_3/Chart_5_buggy/source/org/jfree/data/xy/XYSeries.java,"public int indexOf(Number x) {
if (this.autoSort) {
return Collections.binarySearch(this.data, new XYDataItem(x, null));
}
else {
for (int i = 0; i < this.data.size(); i++) {
XYDataItem item = (XYDataItem) this.data.get(i);
if (item.getX().equals(x)) {
return i;
}
}
return -1;
}
}"
Chart_5b_3,/home/common/huangzhili/defects4j_buggy_3/Chart_5_buggy/source/org/jfree/data/xy/XYSeries.java,"public int getItemCount() {
return this.data.size();
}"
Chart_6b_1,/home/common/huangzhili/defects4j_buggy_3/Chart_6_buggy/source/org/jfree/chart/util/ShapeList.java,"public ShapeList() {
super();
}"
Chart_6b_2,/home/common/huangzhili/defects4j_buggy_3/Chart_6_buggy/source/org/jfree/chart/util/ShapeList.java,"public void setShape(int index, Shape shape) {
set(index, shape);
}"
Chart_6b_3,/home/common/huangzhili/defects4j_buggy_3/Chart_6_buggy/source/org/jfree/chart/util/ShapeList.java,"public boolean equals(Object obj) {

if (obj == this) {
return true;
}
if (!(obj instanceof ShapeList)) {
return false;
}
return super.equals(obj);

}"
Chart_6b_4,/home/common/huangzhili/defects4j_buggy_3/Chart_6_buggy/source/org/jfree/chart/util/ShapeList.java,"public Shape getShape(int index) {
return (Shape) get(index);
}"
Chart_6b_5,/home/common/huangzhili/defects4j_buggy_3/Chart_6_buggy/source/org/jfree/chart/util/ShapeList.java,"return super.hashCode();
}

/**
* Provides serialization support.
*
* @param stream  the output stream.
*
* @throws IOException  if there is an I/O error.
*/
private void writeObject(ObjectOutputStream stream) throws IOException {"
Chart_7b_1,/home/common/huangzhili/defects4j_buggy_3/Chart_7_buggy/source/org/jfree/data/time/TimePeriodValues.java,"public int getMaxMiddleIndex() {
return this.maxMiddleIndex;
}"
Chart_7b_2,/home/common/huangzhili/defects4j_buggy_3/Chart_7_buggy/source/org/jfree/data/time/TimePeriodValues.java,"private void updateBounds(TimePeriod period, int index) {

long start = period.getStart().getTime();
long end = period.getEnd().getTime();
long middle = start + ((end - start) / 2);

if (this.minStartIndex >= 0) {
long minStart = getDataItem(this.minStartIndex).getPeriod()
.getStart().getTime();
if (start < minStart) {
this.minStartIndex = index;
}
}
else {
this.minStartIndex = index;
}

if (this.maxStartIndex >= 0) {
long maxStart = getDataItem(this.maxStartIndex).getPeriod()
.getStart().getTime();
if (start > maxStart) {
this.maxStartIndex = index;
}
}
else {
this.maxStartIndex = index;
}

if (this.minMiddleIndex >= 0) {
long s = getDataItem(this.minMiddleIndex).getPeriod().getStart()
.getTime();
long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd()
.getTime();
long minMiddle = s + (e - s) / 2;
if (middle < minMiddle) {
this.minMiddleIndex = index;
}
}
else {
this.minMiddleIndex = index;
}

if (this.maxMiddleIndex >= 0) {
long s = getDataItem(this.minMiddleIndex).getPeriod().getStart()
.getTime();
long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd()
.getTime();
long maxMiddle = s + (e - s) / 2;
if (middle > maxMiddle) {
this.maxMiddleIndex = index;
}
}
else {
this.maxMiddleIndex = index;
}

if (this.minEndIndex >= 0) {
long minEnd = getDataItem(this.minEndIndex).getPeriod().getEnd()
.getTime();
if (end < minEnd) {
this.minEndIndex = index;
}
}
else {
this.minEndIndex = index;
}

if (this.maxEndIndex >= 0) {
long maxEnd = getDataItem(this.maxEndIndex).getPeriod().getEnd()
.getTime();
if (end > maxEnd) {
this.maxEndIndex = index;
}
}
else {
this.maxEndIndex = index;
}

}"
