
=== Debug Info for Test: com.google.javascript.jscomp.IntegrationTest::testSingletonGetter1 ===
Exception: junit.framework.AssertionFailedError:

com.google.javascript.jscomp.InlineVariables:getFilterForMode:90->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:90 -> com.google.javascript.jscomp.InlineVariables$Mode.ordinal
com.google.javascript.jscomp.InlineVariables:getFilterForMode:92->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:92 -> com.google.common.base.Predicates.alwaysTrue
com.google.javascript.jscomp.InlineVariables:getFilterForMode:90->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:90 -> com.google.javascript.jscomp.InlineVariables$Mode.ordinal
com.google.javascript.jscomp.InlineVariables:getFilterForMode:92->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:92 -> com.google.common.base.Predicates.alwaysTrue
com.google.javascript.jscomp.InlineVariables:getFilterForMode:90->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:90 -> com.google.javascript.jscomp.InlineVariables$Mode.ordinal
com.google.javascript.jscomp.InlineVariables:getFilterForMode:92->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:92 -> com.google.common.base.Predicates.alwaysTrue
com.google.javascript.jscomp.InlineVariables:getFilterForMode:90->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:90 -> com.google.javascript.jscomp.InlineVariables$Mode.ordinal
com.google.javascript.jscomp.InlineVariables:getFilterForMode:92->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:92 -> com.google.common.base.Predicates.alwaysTrue
com.google.javascript.jscomp.InlineVariables:getFilterForMode:90->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:90 -> com.google.javascript.jscomp.InlineVariables$Mode.ordinal
com.google.javascript.jscomp.InlineVariables:getFilterForMode:92->[Method Call] Call Stack: com.google.javascript.jscomp.InlineVariables.getFilterForMode:92 -> com.google.common.base.Predicates.alwaysTrue
