
=== Debug Info for Test: com.google.javascript.jscomp.LiveVariableAnalysisTest::testExpressionInForIn ===
Exception: java.lang.IllegalStateException

com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.Scope.getVarCount
com.google.javascript.jscomp.LiveVariablesAnalysis:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.LiveVariablesAnalysis.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.LiveVariablesAnalysis$LiveVariableLattice.<init>
