
=== Debug Info for Test: com.google.javascript.jscomp.CodePrinterTest::testManyAdds ===

com.google.javascript.jscomp.CodeGenerator:add:101->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:101 -> java.lang.Integer.valueOf
com.google.javascript.jscomp.CodeGenerator:add:98->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:98 -> com.google.common.base.Preconditions.checkState
com.google.javascript.jscomp.CodeGenerator:add:102->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:102 -> com.google.javascript.jscomp.NodeUtil.precedence
com.google.javascript.jscomp.CodeGenerator:add:106->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:106 -> com.google.javascript.jscomp.CodeGenerator.getContextForNoInOperator
com.google.javascript.jscomp.CodeGenerator:add:111->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:111 -> com.google.javascript.rhino.Node.getType
com.google.javascript.jscomp.CodeGenerator:add:116->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:116 -> com.google.javascript.jscomp.NodeUtil.isAssignmentOp
com.google.javascript.jscomp.CodeGenerator:add:122->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:122 -> com.google.javascript.jscomp.CodeGenerator.addExpr
com.google.javascript.jscomp.CodeGenerator:add:86->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:86 -> com.google.javascript.jscomp.CodeConsumer.continueProcessing
com.google.javascript.jscomp.CodeGenerator:add:90->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:90 -> com.google.javascript.rhino.Node.getType
com.google.javascript.jscomp.CodeGenerator:add:91->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:91 -> com.google.javascript.jscomp.NodeUtil.opToStr
com.google.javascript.jscomp.CodeGenerator:add:92->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:92 -> com.google.javascript.rhino.Node.getChildCount
com.google.javascript.jscomp.CodeGenerator:add:93->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:93 -> com.google.javascript.rhino.Node.getFirstChild
com.google.javascript.jscomp.CodeGenerator:add:94->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:94 -> com.google.javascript.rhino.Node.getLastChild
com.google.javascript.jscomp.CodeGenerator:add:96->[Local Variables] "{last\u003dNUMBER 942.0}"
com.google.javascript.jscomp.CodeGenerator:add:101->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:101 -> java.lang.Integer.valueOf
com.google.javascript.jscomp.CodeGenerator:add:98->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:98 -> com.google.common.base.Preconditions.checkState
com.google.javascript.jscomp.CodeGenerator:add:102->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:102 -> com.google.javascript.jscomp.NodeUtil.precedence
com.google.javascript.jscomp.CodeGenerator:add:106->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:106 -> com.google.javascript.jscomp.CodeGenerator.getContextForNoInOperator
com.google.javascript.jscomp.CodeGenerator:add:111->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:111 -> com.google.javascript.rhino.Node.getType
com.google.javascript.jscomp.CodeGenerator:add:116->[Method Call] Call Stack: com.google.javascript.jscomp.CodeGenerator.add:116 -> com.google.javascript.jscomp.NodeUtil.isAssignmentOp
