
=== Debug Info for Test: com.fasterxml.jackson.core.sym.SymbolsViaParserTest::testSymbolTableExpansionBytes ===

com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:877->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:877 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:878->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:878 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:877->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:877 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:878->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:878 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:878->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:878 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:877->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:877 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:878->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:878 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:877->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:877 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:878->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:878 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:877->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:877 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:878->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:878 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:877->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:877 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:878->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:878 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:877->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:877 -> java.util.Arrays.copyOf
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer:_verifySharing:878->[Method Call] Call Stack: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing:878 -> java.util.Arrays.copyOf
