
=== Debug Info for Test: org.apache.commons.csv.CSVParserTest::testIteratorSequenceBreaking ===

org.apache.commons.csv.CSVParser:<init>:291->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:291 -> java.util.ArrayList.<init>
org.apache.commons.csv.CSVParser:<init>:304->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:304 -> org.apache.commons.csv.Token.<init>
org.apache.commons.csv.CSVParser:<init>:352->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:352 -> org.apache.commons.csv.Assertions.notNull
org.apache.commons.csv.CSVParser:<init>:353->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:353 -> org.apache.commons.csv.Assertions.notNull
org.apache.commons.csv.CSVParser:<init>:356->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:356 -> org.apache.commons.csv.ExtendedBufferedReader.<init>
org.apache.commons.csv.CSVParser:<init>:356->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:356 -> org.apache.commons.csv.Lexer.<init>
org.apache.commons.csv.CSVParser:<init>:357->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:357 -> org.apache.commons.csv.CSVParser.initializeHeader
org.apache.commons.csv.CSVParser:<init>:291->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:291 -> java.util.ArrayList.<init>
org.apache.commons.csv.CSVParser:<init>:304->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:304 -> org.apache.commons.csv.Token.<init>
org.apache.commons.csv.CSVParser:<init>:352->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:352 -> org.apache.commons.csv.Assertions.notNull
org.apache.commons.csv.CSVParser:<init>:353->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:353 -> org.apache.commons.csv.Assertions.notNull
org.apache.commons.csv.CSVParser:<init>:356->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:356 -> org.apache.commons.csv.ExtendedBufferedReader.<init>
org.apache.commons.csv.CSVParser:<init>:356->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:356 -> org.apache.commons.csv.Lexer.<init>
org.apache.commons.csv.CSVParser:<init>:357->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:357 -> org.apache.commons.csv.CSVParser.initializeHeader
org.apache.commons.csv.CSVParser:<init>:291->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:291 -> java.util.ArrayList.<init>
org.apache.commons.csv.CSVParser:<init>:304->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:304 -> org.apache.commons.csv.Token.<init>
org.apache.commons.csv.CSVParser:<init>:352->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:352 -> org.apache.commons.csv.Assertions.notNull
org.apache.commons.csv.CSVParser:<init>:353->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:353 -> org.apache.commons.csv.Assertions.notNull
org.apache.commons.csv.CSVParser:<init>:356->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:356 -> org.apache.commons.csv.ExtendedBufferedReader.<init>
org.apache.commons.csv.CSVParser:<init>:356->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:356 -> org.apache.commons.csv.Lexer.<init>
org.apache.commons.csv.CSVParser:<init>:357->[Method Call] Call Stack: org.apache.commons.csv.CSVParser.<init>:357 -> org.apache.commons.csv.CSVParser.initializeHeader
