
=== Debug Info for Test: org.jsoup.safety.CleanerTest::handlesFramesets ===

org.jsoup.safety.Cleaner:clean:40->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:40 -> org.jsoup.helper.Validate.notNull
org.jsoup.safety.Cleaner:clean:42->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:42 -> org.jsoup.nodes.Document.baseUri
org.jsoup.safety.Cleaner:clean:42->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:42 -> org.jsoup.nodes.Document.createShell
org.jsoup.safety.Cleaner:clean:43->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:43 -> org.jsoup.nodes.Document.body
org.jsoup.safety.Cleaner:clean:43->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:43 -> org.jsoup.nodes.Document.body
org.jsoup.safety.Cleaner:clean:43->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:43 -> org.jsoup.safety.Cleaner.copySafeNodes
org.jsoup.safety.Cleaner:clean:40->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:40 -> org.jsoup.helper.Validate.notNull
org.jsoup.safety.Cleaner:clean:42->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:42 -> org.jsoup.nodes.Document.baseUri
org.jsoup.safety.Cleaner:clean:42->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:42 -> org.jsoup.nodes.Document.createShell
org.jsoup.safety.Cleaner:clean:43->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:43 -> org.jsoup.nodes.Document.body
org.jsoup.safety.Cleaner:clean:43->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:43 -> org.jsoup.nodes.Document.body
org.jsoup.safety.Cleaner:clean:43->[Method Call] Call Stack: org.jsoup.safety.Cleaner.clean:43 -> org.jsoup.safety.Cleaner.copySafeNodes
