
=== Debug Info for Test: com.fasterxml.jackson.core.json.TestJsonParser::testGetValueAsTextBytes ===

com.fasterxml.jackson.core.json.UTF8StreamJsonParser:getValueAsString:298->[Control Flow] Branch Info: Line: 298, Condition: if (unknown_condition_166), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:397->[Control Flow] Branch Info: Line: 397, Condition: if (unknown_condition_166), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (this._currToken != null), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (unknown_condition_165), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (com.fasterxml.jackson.core.JsonToken.isScalarValue() == 0), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (this._currToken != null), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (unknown_condition_165), Executed: false
com.fasterxml.jackson.core.json.UTF8StreamJsonParser:getValueAsString:298->[Control Flow] Branch Info: Line: 298, Condition: if (unknown_condition_166), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:397->[Control Flow] Branch Info: Line: 397, Condition: if (unknown_condition_166), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (this._currToken != null), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (unknown_condition_165), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (com.fasterxml.jackson.core.JsonToken.isScalarValue() == 0), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (this._currToken != null), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (unknown_condition_165), Executed: false

=== Debug Info for Test: com.fasterxml.jackson.core.json.TestJsonParser::testGetValueAsTextChars ===

com.fasterxml.jackson.core.json.ReaderBasedJsonParser:getValueAsString:246->[Control Flow] Branch Info: Line: 246, Condition: if (unknown_condition_166), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:397->[Control Flow] Branch Info: Line: 397, Condition: if (unknown_condition_166), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (this._currToken != null), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (unknown_condition_165), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (com.fasterxml.jackson.core.JsonToken.isScalarValue() == 0), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (this._currToken != null), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (unknown_condition_165), Executed: false
com.fasterxml.jackson.core.json.ReaderBasedJsonParser:getValueAsString:246->[Control Flow] Branch Info: Line: 246, Condition: if (unknown_condition_166), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:397->[Control Flow] Branch Info: Line: 397, Condition: if (unknown_condition_166), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (this._currToken != null), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (unknown_condition_165), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (com.fasterxml.jackson.core.JsonToken.isScalarValue() == 0), Executed: true
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (this._currToken != null), Executed: false
com.fasterxml.jackson.core.base.ParserMinimalBase:getValueAsString:400->[Control Flow] Branch Info: Line: 400, Condition: if (unknown_condition_165), Executed: false
